id,parent_id,name_ar,name_en,name_bn,name_de,name_es,name_fr,name_id,name_ml,name_pt,name_ru,name_ta,name_tr,name_ur,name_zh,name_hi,name_it,name_fa,name_am,name_az,name_bs,name_cs,name_ha,name_ku,name_nl,name_ps,name_ro,name_si,name_so,name_sq,name_sv,name_sw,name_tg,name_th,name_ug,name_uz,name_vi,name_yo,slug
1997,138,أركان الحج,Pillars of Hajj (Pilgrimage),,Pillars of Hajj (Pilgrimage),Pillars of Hajj (Pilgrimage),Pillars of Hajj (Pilgrimage),Pillars of Hajj (Pilgrimage),,,Pillars of Hajj (Pilgrimage),,Pillars of Hajj (Pilgrimage),Pillars of Hajj (Pilgrimage),,,,Pillars of Hajj (Pilgrimage),,,,,,,,,,,,,,,,,,,,,pillars-of-hajj-pilgrimage
1998,138,واجبات الحج,Obligations of Hajj (Pilgrimage),,Obligations of Hajj (Pilgrimage),Obligations of Hajj (Pilgrimage),Obligations of Hajj (Pilgrimage),Obligations of Hajj (Pilgrimage),,,Obligations of Hajj (Pilgrimage),,Obligations of Hajj (Pilgrimage),Obligations of Hajj (Pilgrimage),,,,Obligations of Hajj (Pilgrimage),,,,,,,,,,,,,,,,,,,,,obligations-of-hajj-pilgrimage
1999,138,أحكام المسجد النبوي,Rulings of the Prophet's Mosque,,Rulings of the Prophet's Mosque,Rulings of the Prophet's Mosque,Rulings of the Prophet's Mosque,Rulings of the Prophet's Mosque,,,Rulings of the Prophet's Mosque,,Rulings of the Prophet's Mosque,Rulings of the Prophet's Mosque,,,,Rulings of the Prophet's Mosque,,,,,,,,,,,,,,,,,,,,,rulings-of-the-prophets-mosque
2000,138,الهدي والكفارات,Sacrificial Animals and Expiations,,Sacrificial Animals and Expiations,Sacrificial Animals and Expiations,Sacrificial Animals and Expiations,Sacrificial Animals and Expiations,,,Sacrificial Animals and Expiations,,Sacrificial Animals and Expiations,Sacrificial Animals and Expiations,,,,Sacrificial Animals and Expiations,,,,,,,,,,,,,,,,,,,,,sacrificial-animals-and-expiations
2001,138,الأضحية,Sacrifice,,Sacrifice,Sacrifice,Sacrifice,Sacrifice,,,Sacrifice,,Sacrifice,Sacrifice,,,,Sacrifice,,,,,,,,,,,,,,,,,,,,,sacrifice
2002,138,أحكام ومسائل الحج والعمرة,Rulings and Issues of Hajj and ‘Umrah,,Rulings and Issues of Hajj and ‘Umrah,Rulings and Issues of Hajj and ‘Umrah,Rulings and Issues of Hajj and ‘Umrah,Rulings and Issues of Hajj and ‘Umrah,,,Rulings and Issues of Hajj and ‘Umrah,,Rulings and Issues of Hajj and ‘Umrah,Rulings and Issues of Hajj and ‘Umrah,,,,Rulings and Issues of Hajj and ‘Umrah,,,,,,,,,,,,,,,,,,,,,rulings-and-issues-of-hajj-and-‘umrah
2003,139,حكم الجهاد,Ruling of Jihad,,Ruling of Jihad,Ruling of Jihad,Ruling of Jihad,Ruling of Jihad,,,Ruling of Jihad,,Ruling of Jihad,Ruling of Jihad,,,,Ruling of Jihad,,,,,,,,,,,,,,,,,,,,,ruling-of-jihad
2004,139,فضل الجهاد,Excellence of Jihad,,Excellence of Jihad,Excellence of Jihad,Excellence of Jihad,Excellence of Jihad,,,Excellence of Jihad,,Excellence of Jihad,Excellence of Jihad,,,,Excellence of Jihad,,,,,,,,,,,,,,,,,,,,,excellence-of-jihad
2005,139,أقسام الجهاد,Categories of Jihad,,Categories of Jihad,Categories of Jihad,Categories of Jihad,Categories of Jihad,,,Categories of Jihad,,Categories of Jihad,Categories of Jihad,,,,Categories of Jihad,,,,,,,,,,,,,,,,,,,,,categories-of-jihad
2006,139,أحكام ومسائل الجهاد,Rulings and Issues of Jihad,,Rulings and Issues of Jihad,Rulings and Issues of Jihad,Rulings and Issues of Jihad,Rulings and Issues of Jihad,,,Rulings and Issues of Jihad,,Rulings and Issues of Jihad,Rulings and Issues of Jihad,,,,Rulings and Issues of Jihad,,,,,,,,,,,,,,,,,,,,,rulings-and-issues-of-jihad
2007,139,آداب الجهاد,Manners of Jihad,,Manners of Jihad,Manners of Jihad,Manners of Jihad,Manners of Jihad,,,Manners of Jihad,,Manners of Jihad,Manners of Jihad,,,,Manners of Jihad,,,,,,,,,,,,,,,,,,,,,manners-of-jihad
2008,139,أحكام أهل الذمة,Rulings of Non-Muslims Living in Muslim Country,,Rulings of Non-Muslims Living in Muslim Country,Rulings of Non-Muslims Living in Muslim Country,Rulings of Non-Muslims Living in Muslim Country,Rulings of Non-Muslims Living in Muslim Country,,,Rulings of Non-Muslims Living in Muslim Country,,Rulings of Non-Muslims Living in Muslim Country,Rulings of Non-Muslims Living in Muslim Country,,,,Rulings of Non-Muslims Living in Muslim Country,,,,,,,,,,,,,,,,,,,,,rulings-of-non-muslims-living-in-muslim-country
2009,139,أحكام الهدنة والأمان,Rulings of Truce and Security,,Rulings of Truce and Security,Rulings of Truce and Security,Rulings of Truce and Security,Rulings of Truce and Security,,,Rulings of Truce and Security,,Rulings of Truce and Security,Rulings of Truce and Security,,,,Rulings of Truce and Security,,,,,,,,,,,,,,,,,,,,,rulings-of-truce-and-security
2010,139,أحكام الإرهاب والاغتيالات والتفجيرات,Rulings of Terrorism; Assassinations; and Explosions,,Rulings of Terrorism; Assassinations; and Explosions,Rulings of Terrorism; Assassinations; and Explosions,Rulings of Terrorism; Assassinations; and Explosions,Rulings of Terrorism; Assassinations; and Explosions,,,Rulings of Terrorism; Assassinations; and Explosions,,Rulings of Terrorism; Assassinations; and Explosions,Rulings of Terrorism; Assassinations; and Explosions,,,,Rulings of Terrorism; Assassinations; and Explosions,,,,,,,,,,,,,,,,,,,,,rulings-of-terrorism;-assassinations;-and-explosions
2011,140,البيوع المحرمة,Forbidden Sales,,Forbidden Sales,Forbidden Sales,Forbidden Sales,Forbidden Sales,,,Forbidden Sales,,Forbidden Sales,Forbidden Sales,,,,Forbidden Sales,,,,,,,,,,,,,,,,,,,,,forbidden-sales
2012,169,الأيمان,Oaths,,Oaths,Oaths,Oaths,Oaths,,,Oaths,,Oaths,Oaths,,,,Oaths,,,,,,,,,,,,,,,,,,,,,oaths
2013,169,النذور,Vows,,Vows,Vows,Vows,Vows,,,Vows,,Vows,Vows,,,,Vows,,,,,,,,,,,,,,,,,,,,,vows
2014,191,فضل النكاح,Excellence of Marriage,,Excellence of Marriage,Excellence of Marriage,Excellence of Marriage,Excellence of Marriage,,,Excellence of Marriage,,Excellence of Marriage,Excellence of Marriage,,,,Excellence of Marriage,,,,,,,,,,,,,,,,,,,,,excellence-of-marriage
2015,191,آداب النكاح,Manners of Marriage,,Manners of Marriage,Manners of Marriage,Manners of Marriage,Manners of Marriage,,,Manners of Marriage,,Manners of Marriage,Manners of Marriage,,,,Manners of Marriage,,,,,,,,,,,,,,,,,,,,,manners-of-marriage
